filename,concentration
20170901_CalCurves_YeastCurve_A_1ug-ul_BY4741_025.mzML,1
20170901_CalCurves_YeastCurve_A_1ug-ul_BY4741_101.mzML,1
20170901_CalCurves_YeastCurve_A_1ug-ul_BY4741_166.mzML,1
20170901_CalCurves_YeastCurve_B_0-7ug-ul_BY4741_024.mzML,0.7
20170901_CalCurves_YeastCurve_B_0-7ug-ul_BY4741_099.mzML,0.7
20170901_CalCurves_YeastCurve_B_0-7ug-ul_BY4741_165.mzML,0.7
20170901_CalCurves_YeastCurve_C_0-5ug-ul_BY4741_023.mzML,0.5
20170901_CalCurves_YeastCurve_C_0-5ug-ul_BY4741_098.mzML,0.5
20170901_CalCurves_YeastCurve_C_0-5ug-ul_BY4741_164.mzML,0.5
20170901_CalCurves_YeastCurve_D_0-3ug-ul_BY4741_022.mzML,0.3
20170901_CalCurves_YeastCurve_D_0-3ug-ul_BY4741_097.mzML,0.3
20170901_CalCurves_YeastCurve_D_0-3ug-ul_BY4741_163.mzML,0.3
20170901_CalCurves_YeastCurve_E_0-1ug-ul_BY4741_020.mzML,0.1
20170901_CalCurves_YeastCurve_E_0-1ug-ul_BY4741_095.mzML,0.1
20170901_CalCurves_YeastCurve_E_0-1ug-ul_BY4741_161.mzML,0.1
20170901_CalCurves_YeastCurve_H_0-03ug-ul_BY4741_017.mzML,0.03
20170901_CalCurves_YeastCurve_H_0-03ug-ul_BY4741_092.mzML,0.03
20170901_CalCurves_YeastCurve_H_0-03ug-ul_BY4741_158.mzML,0.03
20170901_CalCurves_YeastCurve_I_0-01ug-ul_BY4741_016.mzML,0.01
20170901_CalCurves_YeastCurve_I_0-01ug-ul_BY4741_091.mzML,0.01
20170901_CalCurves_YeastCurve_I_0-01ug-ul_BY4741_157.mzML,0.01
20170901_CalCurves_YeastCurve_J_0-007ug-ul_BY4741_014.mzML,0.007
20170901_CalCurves_YeastCurve_J_0-007ug-ul_BY4741_089.mzML,0.007
20170901_CalCurves_YeastCurve_J_0-007ug-ul_BY4741_155.mzML,0.007
20170901_CalCurves_YeastCurve_K_0-005ug-ul_BY4741_013.mzML,0.005
20170901_CalCurves_YeastCurve_K_0-005ug-ul_BY4741_088.mzML,0.005
20170901_CalCurves_YeastCurve_K_0-005ug-ul_BY4741_154.mzML,0.005
20170901_CalCurves_YeastCurve_L_0-003ug-ul_BY4741_012.mzML,0.003
20170901_CalCurves_YeastCurve_L_0-003ug-ul_BY4741_087.mzML,0.003
20170901_CalCurves_YeastCurve_L_0-003ug-ul_BY4741_153.mzML,0.003
20170901_CalCurves_YeastCurve_M_0-001ug-ul_BY4741_011.mzML,0.001
20170901_CalCurves_YeastCurve_M_0-001ug-ul_BY4741_086.mzML,0.001
20170901_CalCurves_YeastCurve_M_0-001ug-ul_BY4741_152.mzML,0.001
20170901_CalCurves_YeastCurve_N_0ug-ul_BY4741_010.mzML,0
20170901_CalCurves_YeastCurve_N_0ug-ul_BY4741_085.mzML,0
20170901_CalCurves_YeastCurve_N_0ug-ul_BY4741_151.mzML,0
20170901_Calcurves_YeastCurve_F_0-07ug-ul_BY4741_019.mzML,0.07
20170901_Calcurves_YeastCurve_F_0-07ug-ul_BY4741_094.mzML,0.07
20170901_Calcurves_YeastCurve_F_0-07ug-ul_BY4741_160.mzML,0.07
20170901_Calcurves_YeastCurve_G_0-05ug-ul_BY4741_018.mzML,0.05
20170901_Calcurves_YeastCurve_G_0-05ug-ul_BY4741_093.mzML,0.05
20170901_Calcurves_YeastCurve_G_0-05ug-ul_BY4741_159.mzML,0.05
